@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute inTotalpkts numeric
@attribute inTotalsize numeric
@attribute inMinsize numeric
@attribute inMaxsize numeric
@attribute inMeansize numeric
@attribute inStdsize numeric
@attribute inKurtosisSize numeric
@attribute inSkewnessSize numeric
@attribute inStandardErrorSize numeric
@attribute inMiniat numeric
@attribute inMaxiat numeric
@attribute inMeaniat numeric
@attribute inStdiat numeric
@attribute inDuration numeric
@attribute outTotalpkts numeric
@attribute outTotalsize numeric
@attribute outMinsize numeric
@attribute outMaxsize numeric
@attribute outMeansize numeric
@attribute outStdsize numeric
@attribute outKurtosisSize numeric
@attribute outSkewnessSize numeric
@attribute outStandardErrorSize numeric
@attribute outMiniat numeric
@attribute outMaxiat numeric
@attribute outMeaniat numeric
@attribute outStdiat numeric
@attribute outDuration numeric
@attribute behavior {chat,browser,video,search}
@data
45698,6,80,9,5755,40,1400,639.44444,665.14545,-1.81341,0.2544,221.71515,0.000001,1.018304,0.19062,0.32305,1.524997,9,1273,40,913,141.44444,272.90825,5.00199,2.77946,90.96942,0.000292,1.018364,0.19063,0.31949,1.525059,video
46091,6,80,502,693885,40,1400,1382.24104,150.96777,71.19394,-8.52325,6.73802,0,1.428006,0.02197,0.09269,11.006225,403,18562,40,650,46.05955,30.74293,367.48625,18.85896,1.53141,0,1.440384,0.02765,0.10772,11.114796,video
39501,6,80,26,27330,52,1400,1051.15385,538.96922,-0.72404,-1.04253,105.70056,0.000001,30.981678,1.24986,6.06909,31.246392,27,2374,52,503,87.92593,117.49513,8.98747,3.36833,22.61195,0.000005,31.093001,1.21166,5.97639,31.503184,video
41405,6,443,2,92,40,52,46,6,-1,0,4.24264,32.959771,32.959771,32.95977,0,32.959771,4,180,40,60,45,8.66025,0.11111,1.5396,4.33013,0.107536,32.801031,11.02245,15.3998,33.067342,video
45885,6,8080,6,420,40,208,70,61.87083,1.99562,2.12314,25.25866,0.000201,0.207683,0.07868,0.09586,0.393399,8,2685,40,1400,335.625,454.13432,1.45396,1.68549,160.56073,0.000224,0.123013,0.07375,0.04755,0.51623,video
41825,6,443,46,31683,52,1400,688.76087,631.22721,-1.87035,0.14382,93.06937,0.000001,167.226464,6.47585,30.3012,291.413112,43,5317,52,1103,123.65116,187.01186,16.26392,3.96703,28.51904,0.000001,167.113753,6.94107,31.28811,291.525145,video
41825,6,443,18,7087,52,1400,393.72222,542.98167,-0.13632,1.3497,127.98201,0.000001,179.435013,10.59157,42.21096,180.05667,19,1744,40,538,91.78947,111.63832,11.22249,3.54208,25.61159,0.000001,179.459672,10.00877,41.09809,180.157949,video
42118,6,80,5,359,40,187,71.8,57.7872,1.02064,1.84559,25.84322,0.000231,29.999396,7.56788,12.95131,30.271523,10,2267,40,1400,226.7,416.96524,4.03017,2.44021,131.85599,0.001093,85.811436,13.19075,27.28356,118.716782,video
44172,6,80,3,144,40,52,48,5.65685,-0.75,-1.06066,3.26599,15.237283,17.643003,16.44014,1.20286,32.880286,8,340,40,60,42.5,6.61438,4.02041,2.59176,2.33854,0.388146,84.438404,17.19541,28.28347,120.367889,video
40700,6,80,7,603,40,351,86.14286,108.20672,3.01165,2.37426,40.8983,0.000159,0.202013,0.06704,0.08858,0.402214,7,4271,40,1400,610.14286,653.46995,-1.71863,0.34562,246.98843,0.000269,0.110527,0.06705,0.04749,0.402304,video
44228,6,443,11,905,40,195,82.27273,62.03971,-0.69813,1.11881,18.70568,0.000127,20.001746,2.36134,5.91081,23.613408,12,3648,40,1400,304,410.05244,1.87269,1.70323,118.37194,0.002692,20.039808,2.16719,5.68486,23.839088,video
46941,6,80,4,483,40,351,120.75,133.02514,0.10617,1.53339,66.51257,0.004081,0.203447,0.07598,0.09038,0.227932,9,1240,40,880,137.77778,262.54218,5.00089,2.77908,87.51406,0.085189,1.175398,0.46435,0.39145,3.714788,video
41888,6,443,20,8391,40,1400,419.55,572.10676,-0.61647,1.14698,127.92696,0.000001,179.931754,9.49956,40.1713,180.491622,18,2189,40,1000,121.61111,219.46023,12.11327,3.74596,51.72727,0.000003,179.852985,10.61716,42.30898,180.491655,video
44442,6,443,37,3811,40,195,103,75.07726,-1.80961,0.39651,12.34263,0.000011,19.761044,1.95091,4.18055,70.232635,51,31946,40,1400,626.39216,553.5816,-1.41894,0.27812,77.51693,0.000031,20.46786,1.40466,3.68295,70.232766,video
42320,6,443,16,2795,40,464,174.6875,176.03541,-0.85595,0.92253,44.00885,0.00002,20.00507,1.71799,4.93046,25.769801,29,12617,40,1400,435.06897,528.03644,-0.43759,1.07756,98.0539,0.000047,138.236351,5.98769,25.72113,167.655385,video
40321,6,80,65,75089,52,1400,1155.21538,454.71382,0.86904,-1.57043,56.40031,0,30.823682,0.70404,3.91505,45.058816,63,5652,52,671,89.71429,141.64895,11.8958,3.72778,17.84609,0.000001,30.862754,0.72915,3.97359,45.207038,video
38955,6,80,57,63690,52,1400,1117.36842,452.09926,0.45353,-1.40322,59.88201,0.000001,16.515143,0.3902,2.18246,21.851234,63,15766,52,749,250.25397,306.27433,-1.06565,0.96406,38.58694,0.000002,16.622787,0.35594,2.08905,22.068201,video
37276,6,443,2,92,40,52,46,6,-1,0,4.24264,30.785361,30.785361,30.78536,0,30.785361,4,180,40,60,45,8.66025,0.11111,1.5396,4.33013,0.069625,30.679022,10.28498,14.42077,30.854946,video
46132,6,80,11,9455,40,1400,859.54545,633.90498,-1.58146,-0.48318,191.12954,0,0.29975,0.06995,0.11204,0.699505,11,1429,40,1009,129.90909,278.05181,7.00177,3.12825,83.83578,0.000002,0.320009,0.06996,0.10703,0.699551,video
45066,6,443,10,704,40,195,70.4,58.0486,0.6819,1.6717,18.35658,0.000068,20.004243,3.35903,6.5979,30.23125,11,3102,40,1400,282,420.296,2.21953,1.89348,126.72401,0.000156,19.964589,3.02314,6.30097,30.231382,video
39759,6,80,11,9820,40,1400,892.72727,597.12236,-1.42603,-0.54087,180.03916,0.000001,30.365216,3.04806,9.10578,30.480553,12,889,40,429,74.08333,107.1529,7.95135,3.27404,30.93238,0.000018,30.433279,2.78756,8.74245,30.663107,video
41512,6,443,16,1959,40,464,122.4375,140.96186,1.68571,1.78231,35.24047,0.000021,44.04883,4.41628,11.68979,66.244127,19,8503,40,1400,447.52632,525.61406,-0.41486,1.07613,120.58414,0.000001,43.848686,3.68023,10.74966,66.244115,video
46955,6,80,1642,2280504,40,1400,1388.85749,120.68746,115.6001,-10.81917,2.97835,0,25.988284,0.04867,0.74166,79.870187,1026,47160,40,1172,45.96491,35.81421,950.3745,30.32542,1.1181,0,43.021163,0.11999,1.636,122.992352,video
41588,6,443,8,5332,40,1400,666.5,604.894,-1.56911,0.26035,213.86232,0.000001,20.000898,2.89646,6.98322,20.275255,10,770,40,240,77,65.47824,1.7081,1.87854,20.70604,0.000036,20.002882,2.27635,6.26764,20.487171,video
46173,6,80,2,112,52,60,56,4,-1,0,2.82843,60.127377,60.127377,60.12738,0,60.127377,7,372,52,60,53.14286,2.79942,3.02778,2.38145,1.05808,0.12869,151.91084,35.78051,56.32662,214.683051,video
37323,6,80,25,24640,52,1400,985.6,523.51191,-0.83567,-0.90047,104.70238,0.000001,17.480641,1.18025,3.83519,28.325944,34,8000,52,747,235.29412,303.38158,-0.79686,1.09887,52.02951,0.000008,17.58522,0.85836,3.31193,28.325949,video
42866,6,80,5,351,40,187,70.2,58.42054,1.05805,1.87173,26.12646,0.000139,30.000916,7.55311,12.96053,30.212441,9,2227,40,1400,247.44444,434.5969,3.24783,2.27318,144.86563,0.000199,83.976583,14.50381,28.00131,116.030519,video
40968,6,443,8,624,40,195,78,62.63585,-0.26822,1.32545,22.14512,0.000037,20.007703,3.68913,6.89877,25.823929,11,3073,40,1400,279.36364,417.60383,2.37427,1.92944,125.91229,0.000257,20.01701,2.5824,5.99974,25.824013,video
40880,6,80,6,538,40,187,89.66667,68.83959,-1.20004,0.84693,28.10364,0.000209,29.999387,11.6978,14.29632,58.48898,9,3571,40,1400,396.77778,544.15761,-0.00042,1.39325,181.38587,0.00005,29.971064,7.33684,12.58651,58.694735,video
41056,6,443,10,704,40,195,70.4,58.0486,0.6819,1.6717,18.35658,0.000017,20.007596,2.89078,6.29044,26.017016,12,3114,40,1400,259.5,405.35098,2.90393,2.06044,117.01475,0.000002,20.026494,2.36519,5.78697,26.017094,video
41346,6,80,7,578,40,187,82.57143,66.06027,-0.78406,1.10519,24.96843,0.000011,29.999942,5.48965,11.00912,32.937918,13,3716,40,1400,285.84615,481.81497,1.81471,1.96368,133.63143,0,78.403343,9.57464,22.29482,114.89567,video
40317,6,80,74,86087,52,1400,1163.33784,461.90429,0.96441,-1.6404,53.69528,0,30.828279,0.61734,3.67492,45.065997,69,6427,52,671,93.14493,144.48321,10.1982,3.4735,17.39374,0.000001,30.863505,0.66489,3.80109,45.212564,video
41363,6,443,429,549431,40,1400,1280.72494,374.31331,6.27624,-2.86931,18.07202,0,179.221599,0.43187,8.65399,184.840407,311,17437,40,582,56.06752,43.43697,123.49134,10.71899,2.46308,0,179.220431,0.59669,10.16347,184.975448,video
39241,6,443,15,14360,40,1400,957.33333,626.9259,-1.36756,-0.76697,161.87157,0.000001,0.249559,0.04059,0.07954,0.568255,18,2096,40,836,116.44444,210.5504,6.16606,2.84597,49.6272,0.000018,0.16434,0.04104,0.05832,0.697692,video
