@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute appName {'WeChat','Weibo','bilibili','iQIYI','手机淘宝','京东','Alipay','携程旅行','马蜂窝旅游','QQMusic','酷狗音乐','拼多多','今日头条','新浪新闻','Tencent news','NetEase News','抖音短视频','Meituan','Ximalaya','NetEase Music'}
@data
42360,6,80,145,77607,40,1400,535.22069,633.02528,-1.5871,0.61762,52.56989,0,5.144872,0.05024,0.42853,7.23495,Ximalaya
41499,6,80,125,76062,40,1400,608.496,651.62359,-1.8302,0.35351,58.28299,0,0.184732,0.00944,0.02634,1.170853,Ximalaya
41473,6,80,135,75221,40,1400,557.19259,633.84788,-1.65959,0.53407,54.55294,0,0.153886,0.01015,0.02463,1.360533,Ximalaya
45290,6,80,9,1162,52,512,129.11111,151.19409,2.28862,2.02448,50.39803,0.002598,29.823967,3.83762,9.8225,30.700936,'NetEase Music'
38568,6,80,129,74723,40,1400,579.24806,644.61402,-1.74393,0.44963,56.7551,0,5.039832,0.04971,0.4437,6.362545,Ximalaya
43747,6,5222,10,1352,52,530,135.2,142.40281,3.64747,2.26998,45.03172,0.000094,0.240242,0.13953,0.0617,1.255781,Ximalaya
43747,6,5222,8,476,52,64,59.5,5.80948,-1.55238,-0.59017,2.05396,0.006891,226.627765,32.56651,79.22525,227.965592,Ximalaya
43747,6,5222,8,476,52,64,59.5,5.80948,-1.55238,-0.59017,2.05396,0.006851,269.05612,38.58875,94.08794,270.121233,Ximalaya
43747,6,5222,8,476,52,64,59.5,5.80948,-1.55238,-0.59017,2.05396,0.000102,268.936997,38.60158,94.03412,270.21104,Ximalaya
41076,6,80,21,2743,40,313,130.61905,120.29269,-1.41092,0.74023,26.25002,0.000026,0.721884,0.08009,0.1554,1.601899,Ximalaya
43177,6,80,16,4728,40,1308,295.5,457.92235,0.58203,1.54111,114.48059,0.000002,2.00089,0.21337,0.48401,3.200519,Ximalaya
38468,6,80,141,74784,40,1400,530.38298,630.89167,-1.57339,0.61478,53.13066,0.000001,0.160427,0.01148,0.02696,1.607892,Ximalaya
39555,6,80,18,5642,52,1366,313.44444,448.00313,0.5401,1.49207,105.59535,0.000002,4.79382,0.44432,1.11213,7.553476,Ximalaya
42846,6,80,123,74527,40,1400,605.91057,651.59913,-1.82183,0.35693,58.75272,0,5.033261,0.05191,0.45371,6.332704,Ximalaya
39890,6,80,9,2054,52,924,228.22222,327.99518,0.40109,1.56579,109.33173,0.001545,4.892432,0.72552,1.5778,5.804188,Ximalaya
39469,6,80,11,2635,52,1366,239.54545,409.94309,3.00748,2.20428,123.60249,0.000005,4.780552,0.58048,1.4028,5.804811,Ximalaya
41164,6,80,39,16644,40,1400,426.76923,575.44362,-0.80362,1.04185,92.14472,0,59.092546,1.57762,9.45557,59.949634,Ximalaya
42830,6,80,147,86685,40,1400,589.69388,652.29346,-1.79636,0.4185,53.80026,0,0.162367,0.00843,0.02611,1.231044,Ximalaya
42834,6,80,141,76742,40,1400,544.2695,638.14338,-1.6388,0.57651,53.74137,0,0.239016,0.00976,0.02946,1.3662,Ximalaya
45744,6,80,137,75038,40,1400,547.72263,641.39628,-1.65495,0.56128,54.79818,0,5.756291,0.05202,0.49171,7.074144,Ximalaya
41505,6,80,147,81993,40,1400,557.77551,638.17219,-1.67872,0.52712,52.63555,0,0.145953,0.00842,0.02162,1.229621,Ximalaya
38564,6,80,127,78758,40,1400,620.14173,656.47289,-1.8666,0.30713,58.25255,0,11.880977,0.10517,1.05367,13.251865,Ximalaya
45542,6,80,14,3337,52,1400,238.35714,408.4748,3.1025,2.23422,109.16948,0.000006,1.33523,0.17663,0.34175,2.296214,Ximalaya
42628,6,80,8,561,40,249,70.125,67.97506,3.87853,2.53781,24.03281,0.006998,20.007188,2.91978,6.97614,20.438474,Ximalaya
43842,6,80,14,3868,40,1400,276.28571,470.00599,2.07426,2.01046,125.61439,0.000001,0.206598,0.06231,0.08237,0.810024,WeChat
43179,6,80,13,2884,40,912,221.84615,323.72587,0.04937,1.42948,89.7854,0.000015,59.117065,5.033,16.30736,60.395941,Ximalaya
41465,6,80,127,73197,40,1400,576.35433,643.26458,-1.73008,0.46,57.0805,0,0.168487,0.00926,0.02533,1.167147,Ximalaya
41497,6,80,143,85184,40,1400,595.69231,652.11348,-1.80548,0.40313,54.53247,0,0.162551,0.0084,0.02637,1.192938,Ximalaya
41451,6,80,131,76140,40,1400,581.22137,650.14386,-1.76581,0.44485,56.80333,0,0.150871,0.00746,0.02121,0.969946,Ximalaya
45758,6,80,125,76123,40,1400,608.984,651.33265,-1.82759,0.35376,58.25696,0,5.849289,0.05558,0.52302,6.892222,Ximalaya
41501,6,80,137,80043,40,1400,584.25547,646.2319,-1.76814,0.4255,55.21132,0,0.167351,0.00882,0.0244,1.200022,Ximalaya
38263,6,80,11,2494,52,1255,226.72727,376.8646,2.88011,2.17751,113.62895,0.000005,4.814408,0.58032,1.41361,5.803214,Ximalaya
49896,6,80,65,39551,40,1400,608.47692,652.56443,-1.81522,0.36824,80.94066,0,15.084873,0.2486,1.86964,15.910131,WeChat
41495,6,80,135,78097,40,1400,578.4963,641.71732,-1.73609,0.46723,55.23023,0,0.167676,0.00984,0.02743,1.319128,Ximalaya
39960,6,80,9,2054,52,924,228.22222,327.99518,0.40109,1.56579,109.33173,0.001642,4.7992,0.72626,1.54127,5.810081,Ximalaya
42939,6,80,26,12267,52,1400,471.80769,579.25224,-1.15903,0.82814,113.60071,0.000001,0.989589,0.09972,0.19744,2.492971,Ximalaya
41461,6,80,139,82065,40,1400,590.39568,648.40349,-1.7842,0.4151,54.99687,0,0.176077,0.00948,0.02658,1.30801,Ximalaya
40286,6,80,10,1543,40,808,154.3,240.28568,3.21799,2.24598,75.98501,0.000903,0.178921,0.06799,0.06675,0.611879,WeChat
41469,6,80,151,81208,40,1400,537.80132,635.21732,-1.60976,0.59543,51.69325,0,0.133985,0.00838,0.02172,1.257047,Ximalaya
41261,6,80,12,3610,52,1400,300.83333,450.77061,0.93349,1.61741,130.12627,0.000002,2.170139,0.292,0.5976,3.212036,Ximalaya
49902,6,80,159,106280,40,1400,668.42767,667.21132,-1.95066,0.17794,52.9133,0,14.979844,0.10073,1.18781,15.915002,WeChat
45748,6,80,140,76646,40,1400,547.47143,639.81454,-1.65162,0.56225,54.0742,0,6.779213,0.05713,0.57276,7.941187,Ximalaya
41491,6,80,155,90307,40,1400,582.62581,643.59757,-1.76291,0.43733,51.695,0,0.180116,0.00981,0.02781,1.51129,Ximalaya
39923,6,80,24,11012,40,1400,458.83333,608.95674,-1.11836,0.90952,124.30277,0,7.197167,0.33932,1.46347,7.804421,WeChat
43065,6,80,20,8508,40,1400,425.4,574.72849,-0.696,1.08881,128.5132,0,0.204487,0.04264,0.06529,0.810114,WeChat
41503,6,80,127,71808,40,1400,565.41732,643.29864,-1.72261,0.48109,57.08352,0,0.178457,0.00944,0.02623,1.190042,Ximalaya
48593,6,80,139,78025,40,1400,561.33094,641.91668,-1.69811,0.50645,54.44666,0,5.070288,0.0463,0.43045,6.390066,Ximalaya
45620,6,80,12,2195,52,981,182.91667,290.24112,2.81919,2.1841,83.7854,0.000059,2.968886,0.34916,0.83143,3.840791,Ximalaya
42962,6,80,13,4495,40,1400,345.76923,519.72717,0.158,1.43841,144.14638,0.000009,0.12165,0.04954,0.05038,0.594424,Ximalaya
49898,6,80,117,78214,40,1400,668.49573,666.25711,-1.94925,0.17988,61.59549,0,14.844594,0.1372,1.37195,15.91507,WeChat
41425,6,80,773,484498,40,1400,626.7762,658.98282,-1.88547,0.29436,23.70196,0,11.699395,0.02545,0.4211,19.649531,Ximalaya
